p_1,"Centre de Kinésithérapie Al Fida","+212 6 23 15 98 55",lamia.belouad@gmail.com,Casablanca,"Kinésithérapie","intéressé",cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_2,"My Kiné","+212 7 02 05 20 21",,Casablanca,"Kinésithérapie",nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_3,"Centre de Rééducation (CRS)","+212 6 54 63 49 49",crs@gmail.com,Casablanca,"Kinésithérapie",nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_4,"Centre BeWell (Californie)","+212 6 62 64 70 05",contact@be-well.ma,Casablanca,"Kinésithérapie",nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_5,"Kinéconfort","+212 6 66 94 93 55",,Rabat,"Kinésithérapie",nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_6,"Centre KinéAddict","+212 6 75 26 85 30",centrekineaddict@gmail.com,Rabat,"Kinésithérapie",nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_7,"Marrakech Dental Clinic","+212 5 24 43 09 84",marrakechdentalclinic@gmail.com,Marrakech,Dentaire,nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_8,"Clinique Dentaire Tingis","+212 5 39 32 53 25",cliniquedentaire2013@gmail.com,Tanger,Dentaire,nouveau,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,,"2026-07-19 15:12:49",,
p_9,PHYSIOZONE,"+212 7 20 77 42 22","",Marrakech,"Kinésithérapie",contacte,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,"message introduction envoyé a 10 h00 le24 juillet","2026-07-19 15:46:05",2026-07-31T05:06,
p_10,"My Health Assistance","+212 6 64 54 40 10","",Marrakech,"Kinésithérapie",refus_definitif,cbe164c3-55c2-4ea5-8929-e3ef87dc2154,"il s'agit d'une  société d assistance medicale hors cible ","2026-07-19 15:46:05",,
p_11,"Cabinet Loubna Moudnib","+212 6 63 47 25 67","",Marrakech,"Kinésithérapie","intéressé",cbe164c3-55c2-4ea5-8929-e3ef87dc2154,"test rdv pris","2026-07-19 15:46:05",,
p_12,"Cabinet Kanza",,"",Marrakech,"Kinésithérapie","intéressé",ffab9cb6-a9a5-4217-9f51-a85394ea5c6e,"test RDV","2026-07-19 15:46:05",,2026-07-24T10:53:48.292Z
p_13,"Clinique Dentaire MARRAKECH SMILE","+212 5 24 49 50 01",,Marrakech,Dentaire,nouveau,ffab9cb6-a9a5-4217-9f51-a85394ea5c6e,,"2026-07-19 15:46:05",,2026-07-24T10:53:50.100Z
p_14,"Clinique Dentaire AL HAOUZ","+212 6 60 79 99 96",,Marrakech,Dentaire,nouveau,ffab9cb6-a9a5-4217-9f51-a85394ea5c6e,,"2026-07-19 15:46:05",,2026-07-24T10:53:52.319Z
p_15,"Basma Clinique Dentaire","+212 6 97 27 08 86",,Marrakech,Dentaire,nouveau,ffab9cb6-a9a5-4217-9f51-a85394ea5c6e,,"2026-07-19 15:46:05",,2026-07-24T10:53:53.904Z
